truck_make,truck_model,truck_year,license_plate,color,fuel_type,transmission,weight_capacity,length,width,height,purchase_date,sale_date,status
Suzuki,XL7,2006,XYZ456,Fuscia,Gasoline,Manual,7490,149,99,88,1/28/2018,11/17/2009,Inactive
Mazda,B-Series,2003,DEF789,Blue,Gasoline,Manual,3226,220,97,66,2/5/2016,3/13/2015,Inactive
Nissan,Altima,2002,XYZ456,Indigo,Gasoline,Automatic,6304,139,77,84,2/13/2002,12/28/2004,Inactive
Nissan,Pathfinder,1999,DEF789,Maroon,Diesel,Manual,4115,180,94,83,7/16/2000,6/5/2008,Active
Pontiac,Grand Am,1992,DEF789,Blue,Electric,Automatic,4747,214,97,59,7/19/2004,8/30/2005,Active
Nissan,GT-R,2009,ABC123,Yellow,Electric,Automatic,8542,242,70,91,10/19/2009,8/19/2022,Active
Mitsubishi,Challenger,2001,XYZ456,Aquamarine,Diesel,Manual,4099,267,88,98,6/8/2020,9/6/2001,Inactive
Lincoln,Mark VII,1992,ABC123,Goldenrod,Gasoline,Automatic,6622,144,93,76,2/5/2018,6/20/2001,Active
Hyundai,Azera,2011,DEF789,Pink,Diesel,Automatic,5208,188,73,81,9/23/2007,11/12/2021,Active
Volkswagen,Jetta,2004,XYZ456,Blue,Gasoline,Manual,4007,135,74,59,11/19/2016,12/22/2000,Active
Jeep,Grand Cherokee,2007,ABC123,Turquoise,Gasoline,Manual,9810,296,58,70,2/19/2020,1/29/2008,Inactive
Ford,Bronco,1989,ABC123,Aquamarine,Diesel,Automatic,3710,284,73,94,5/14/2022,7/18/2002,Inactive
GMC,Suburban 1500,1998,ABC123,Aquamarine,Diesel,Automatic,9780,256,50,90,4/2/2006,4/28/2001,Inactive
Chevrolet,Malibu,2011,XYZ456,Indigo,Gasoline,Manual,4623,281,97,79,4/30/2015,9/13/2008,Active
Mitsubishi,Endeavor,2008,DEF789,Mauv,Diesel,Manual,7748,247,71,59,9/22/2018,10/15/2012,Active
Lexus,GX,2004,DEF789,Green,Diesel,Automatic,2803,227,80,96,7/20/2011,8/13/2000,Active
Subaru,SVX,1993,XYZ456,Purple,Electric,Automatic,7809,267,53,90,8/5/2017,12/17/2013,Active
Mercury,Grand Marquis,1987,XYZ456,Yellow,Gasoline,Manual,6118,207,69,58,9/16/2001,1/16/2002,Active
Chevrolet,Malibu,2013,ABC123,Khaki,Electric,Automatic,5089,249,56,87,12/1/2016,8/3/2014,Inactive
Audi,Cabriolet,1995,DEF789,Violet,Diesel,Automatic,6238,248,57,87,9/6/2019,1/15/2008,Active
Ford,Escort,2004,ABC123,Violet,Electric,Manual,4693,236,81,53,12/29/2020,4/30/2019,Inactive
Chrysler,Town & Country,1992,ABC123,Fuscia,Electric,Manual,3174,123,70,88,7/18/2002,11/22/2008,Active
Lexus,RX,2010,DEF789,Puce,Electric,Manual,1200,123,82,57,4/5/2014,7/3/2020,Active
Honda,Civic,2011,XYZ456,Aquamarine,Gasoline,Manual,8516,278,76,72,9/24/2020,12/6/2018,Active
Infiniti,EX,2011,XYZ456,Khaki,Diesel,Automatic,3262,279,97,100,8/19/2016,5/8/2014,Active
Dodge,Grand Caravan,2009,ABC123,Pink,Electric,Automatic,8204,139,89,97,5/8/2019,2/2/2003,Active
Maybach,57,2012,ABC123,Pink,Diesel,Manual,3844,283,86,55,4/5/2012,6/18/2019,Inactive
Mitsubishi,Outlander,2004,DEF789,Blue,Diesel,Manual,2160,247,90,99,8/10/2013,7/10/2012,Active
Lexus,ES,1994,XYZ456,Red,Electric,Manual,3186,268,68,68,10/15/2022,4/29/2014,Active
Lotus,Elise,2010,DEF789,Goldenrod,Gasoline,Automatic,3568,185,50,83,9/16/2001,11/25/2016,Active
Volkswagen,Type 2,1989,XYZ456,Blue,Diesel,Manual,5672,234,78,60,4/29/2014,2/3/2021,Active
Audi,R8,2011,ABC123,Orange,Diesel,Manual,4498,238,57,84,11/22/2021,6/3/2003,Active
Infiniti,G,2011,ABC123,Pink,Gasoline,Manual,7184,230,55,61,12/9/2017,1/29/2003,Active
Dodge,Ram 3500,2002,ABC123,Yellow,Electric,Manual,5111,103,71,50,2/6/2015,7/21/2002,Active
Dodge,Neon,2000,ABC123,Khaki,Diesel,Manual,1513,186,94,60,6/4/2022,5/10/2010,Active
Saab,9-2X,2005,ABC123,Blue,Electric,Automatic,9499,156,68,79,4/20/2021,1/18/2008,Inactive
Saab,9-7X,2007,DEF789,Mauv,Electric,Automatic,7492,165,66,93,4/26/2016,2/19/2003,Active
Porsche,911,1991,DEF789,Red,Gasoline,Automatic,2392,207,82,83,2/1/2010,2/21/2001,Inactive
GMC,Sierra 1500,1999,DEF789,Red,Gasoline,Automatic,7665,150,50,67,1/15/2012,8/10/2015,Active
Buick,Skylark,1997,DEF789,Crimson,Gasoline,Manual,3526,291,54,62,9/27/2006,1/10/2020,Active
Hyundai,XG300,2001,DEF789,Khaki,Diesel,Manual,8584,259,93,71,7/12/2001,5/12/2012,Inactive
Hyundai,Accent,1996,DEF789,Yellow,Diesel,Automatic,6679,246,61,74,9/30/2009,4/22/2009,Inactive
Land Rover,Defender Ice Edition,2010,ABC123,Goldenrod,Diesel,Automatic,5818,140,62,52,1/24/2004,9/14/2021,Active
Nissan,Titan,2009,DEF789,Red,Diesel,Manual,8738,226,80,90,3/26/2005,12/4/2003,Inactive
Ford,F-Series,2011,DEF789,Indigo,Electric,Manual,2906,246,55,74,11/17/2000,5/8/2022,Inactive
Lexus,GX,2004,XYZ456,Maroon,Gasoline,Manual,8483,115,74,51,2/4/2018,4/12/2016,Active
Cadillac,STS,2005,ABC123,Orange,Electric,Manual,1173,122,75,82,1/14/2014,5/10/2007,Inactive
Dodge,Ram,2003,DEF789,Violet,Electric,Automatic,9833,114,60,84,11/29/2008,9/5/2004,Active
Mercury,Montego,2005,XYZ456,Pink,Electric,Automatic,9919,101,61,51,11/11/2016,2/14/2012,Active
Honda,Accord,1998,ABC123,Indigo,Electric,Automatic,5442,235,94,82,1/3/2006,9/22/2003,Inactive
Mazda,626,1986,XYZ456,Puce,Gasoline,Manual,2999,221,93,60,7/11/2000,11/3/2021,Active
Chevrolet,Corvette,1953,XYZ456,Pink,Diesel,Automatic,1939,124,68,66,10/10/2021,6/6/2007,Active
Pontiac,Firebird,1987,DEF789,Khaki,Diesel,Automatic,1844,197,63,66,6/8/2010,12/7/2013,Inactive
Dodge,Dakota Club,1994,XYZ456,Mauv,Gasoline,Manual,6498,208,59,76,8/20/2021,8/21/2004,Inactive
Cadillac,Seville,1995,DEF789,Orange,Gasoline,Manual,9616,165,62,98,1/13/2017,4/28/2005,Inactive
Mazda,MPV,2004,ABC123,Khaki,Diesel,Automatic,4382,207,90,67,8/16/2007,7/23/2019,Inactive
Nissan,Frontier,2011,ABC123,Crimson,Electric,Automatic,5415,289,94,77,11/28/2000,6/22/2022,Active
Ford,F350,1996,DEF789,Puce,Diesel,Manual,6016,288,96,60,1/15/2021,10/6/2005,Active
Buick,Century,2001,DEF789,Indigo,Diesel,Automatic,4087,173,96,95,4/3/2012,7/7/2018,Inactive
Mitsubishi,Montero,1996,ABC123,Orange,Diesel,Automatic,1669,144,60,77,1/27/2020,8/22/2004,Inactive
Chevrolet,Corvette,1964,XYZ456,Khaki,Gasoline,Automatic,9041,170,62,66,10/21/2006,12/14/2010,Active
GMC,Canyon,2012,ABC123,Puce,Gasoline,Manual,3025,148,53,69,3/2/2014,10/6/2011,Active
Volkswagen,Jetta,1989,XYZ456,Red,Electric,Automatic,2323,141,90,56,1/2/2017,10/14/2021,Active
Jeep,Cherokee,1999,XYZ456,Blue,Diesel,Manual,9732,298,65,63,12/12/2020,3/26/2009,Inactive
Austin,Mini Cooper S,1963,XYZ456,Aquamarine,Electric,Automatic,3736,142,63,99,9/13/2017,2/14/2003,Active
Oldsmobile,Cutlass Cruiser,1994,ABC123,Puce,Diesel,Automatic,1614,288,51,79,11/29/2000,9/18/2021,Active
Ford,Taurus,1998,ABC123,Khaki,Diesel,Automatic,3973,114,94,59,8/31/2021,1/13/2020,Inactive
BMW,M6,2006,ABC123,Indigo,Gasoline,Manual,7534,191,99,60,12/16/2011,10/29/2021,Inactive
Audi,Quattro,1992,DEF789,Blue,Diesel,Manual,4896,111,58,84,11/3/2011,9/8/2005,Active
Lexus,LX,2001,XYZ456,Yellow,Electric,Automatic,6713,277,92,70,2/2/2005,11/28/2015,Inactive
Saturn,Outlook,2008,DEF789,Red,Diesel,Automatic,4911,227,75,50,6/6/2004,6/16/2021,Active
Chevrolet,Metro,1999,ABC123,Red,Diesel,Manual,3146,182,82,69,3/23/2008,10/3/2022,Inactive
Volkswagen,Golf,2004,DEF789,Violet,Gasoline,Manual,9674,189,55,88,2/9/2010,8/2/2017,Active
Pontiac,Sunbird,1989,DEF789,Blue,Gasoline,Manual,6920,223,85,58,1/6/2018,2/16/2017,Active
Porsche,911,1998,DEF789,Crimson,Gasoline,Automatic,4361,283,92,54,9/20/2019,4/15/2019,Active
Land Rover,Range Rover,2010,XYZ456,Mauv,Gasoline,Manual,5035,300,72,52,8/17/2008,3/7/2004,Active
Volvo,XC90,2007,XYZ456,Yellow,Electric,Manual,6335,299,80,75,9/9/2006,12/31/2021,Active
Plymouth,Sundance,1993,ABC123,Yellow,Diesel,Automatic,5421,182,97,68,2/27/2021,11/6/2022,Inactive
Nissan,Sentra,2003,ABC123,Turquoise,Diesel,Manual,1633,143,57,83,2/16/2005,4/23/2014,Active
Toyota,Prius,2001,XYZ456,Orange,Electric,Manual,6426,172,71,66,8/18/2006,9/30/2000,Active
Nissan,Altima,2002,ABC123,Purple,Gasoline,Automatic,4792,287,74,89,2/5/2005,7/17/2010,Active
Maserati,Karif,1989,DEF789,Mauv,Diesel,Manual,6959,253,73,61,9/4/2010,10/19/2013,Active
Austin,Mini,1963,XYZ456,Goldenrod,Electric,Automatic,5878,157,77,99,3/8/2001,1/17/2015,Inactive
Chevrolet,Corvette,1984,XYZ456,Aquamarine,Electric,Manual,2247,233,93,61,6/12/2008,11/27/2001,Active
Chevrolet,SSR,2005,ABC123,Fuscia,Diesel,Automatic,2033,265,76,88,1/25/2008,5/20/2015,Active
Volvo,S60,2010,XYZ456,Violet,Diesel,Manual,7363,126,64,50,5/22/2017,9/6/2019,Active
Mercedes-Benz,S-Class,1988,DEF789,Goldenrod,Gasoline,Manual,3479,116,67,92,2/28/2019,7/25/2019,Active
Chevrolet,TrailBlazer,2006,DEF789,Orange,Diesel,Automatic,2403,104,93,77,6/3/2007,2/14/2012,Active
Hyundai,Genesis Coupe,2010,DEF789,Crimson,Diesel,Manual,4318,207,73,70,4/15/2014,10/11/2006,Inactive
GMC,Sierra 1500,1999,XYZ456,Teal,Gasoline,Manual,8363,273,65,74,3/21/2015,2/19/2013,Inactive
Lexus,CT,2011,XYZ456,Pink,Electric,Automatic,5932,205,78,91,6/29/2008,11/17/2020,Active
Dodge,Ram,2010,ABC123,Maroon,Diesel,Automatic,4553,143,72,59,2/25/2017,12/21/2022,Active
Suzuki,Equator,2009,ABC123,Fuscia,Diesel,Manual,4906,141,95,70,12/6/2000,9/15/2008,Active
Ford,Probe,1994,ABC123,Khaki,Diesel,Automatic,8663,172,74,75,12/12/2011,11/3/2020,Inactive
Toyota,Corolla,2009,ABC123,Indigo,Gasoline,Manual,6444,112,52,68,1/10/2016,10/10/2007,Active
Dodge,Stratus,2004,DEF789,Violet,Diesel,Automatic,6661,122,86,96,6/11/2010,10/12/2007,Active
Honda,Accord,1986,DEF789,Teal,Gasoline,Manual,2323,191,74,70,7/1/2013,4/12/2005,Active
Mazda,MPV,1997,DEF789,Turquoise,Diesel,Automatic,2261,218,77,93,6/12/2018,2/27/2020,Active
Maybach,62,2009,XYZ456,Indigo,Diesel,Manual,9753,132,89,65,11/17/2004,8/1/2019,Active
Suzuki,Samurai,1994,DEF789,Violet,Electric,Automatic,4735,217,88,57,10/16/2004,5/4/2008,Active
Aston Martin,DBS,2008,ABC123,Orange,Gasoline,Manual,6838,231,50,61,1/19/2011,6/1/2002,Active
Mercedes-Benz,GL-Class,2007,DEF789,Maroon,Electric,Manual,6465,164,69,55,11/20/2001,1/22/2016,Active
Honda,Prelude,1994,XYZ456,Turquoise,Electric,Manual,3353,154,70,69,10/4/2004,2/12/2017,Active
Saturn,Astra,2009,ABC123,Turquoise,Diesel,Automatic,7920,213,93,56,7/28/2020,5/6/2009,Inactive
Buick,Riviera,1998,ABC123,Khaki,Diesel,Automatic,5696,274,79,80,10/8/2003,11/30/2000,Inactive
Dodge,Ram 2500 Club,1998,DEF789,Goldenrod,Electric,Manual,5657,245,60,80,8/12/2021,8/18/2005,Inactive
Volvo,C70,2000,ABC123,Crimson,Gasoline,Automatic,3828,260,80,68,1/10/2005,3/6/2022,Active
Volvo,XC90,2009,ABC123,Mauv,Electric,Manual,8926,293,68,77,6/6/2001,11/22/2011,Inactive
Oldsmobile,Cutlass,1997,DEF789,Green,Electric,Manual,8282,255,66,74,7/14/2007,12/5/2019,Inactive
Toyota,Corolla,2009,DEF789,Mauv,Electric,Manual,1445,205,60,50,1/16/2008,1/29/2006,Active
Mitsubishi,Montero,2001,XYZ456,Red,Gasoline,Manual,5810,280,61,92,1/17/2020,1/2/2009,Inactive
Land Rover,Defender 90,1995,DEF789,Turquoise,Gasoline,Manual,5156,145,91,95,10/18/2007,4/27/2006,Active
Dodge,Ram 3500,2000,DEF789,Teal,Gasoline,Manual,5394,218,53,67,10/3/2008,4/8/2004,Active
Ford,Escort,1997,ABC123,Indigo,Diesel,Automatic,6048,117,72,90,1/19/2017,4/27/2012,Inactive
Lincoln,Continental,1991,DEF789,Yellow,Gasoline,Automatic,8671,103,80,74,4/5/2020,10/8/2012,Active
Isuzu,Amigo,1994,ABC123,Purple,Electric,Manual,9806,246,51,63,2/26/2007,3/19/2004,Active
Buick,Roadmaster,1994,XYZ456,Teal,Gasoline,Manual,2412,292,50,54,4/28/2013,9/23/2022,Active
Buick,Coachbuilder,1993,DEF789,Aquamarine,Gasoline,Manual,5447,107,66,79,6/19/2005,6/10/2005,Inactive
Toyota,Celica,1976,XYZ456,Purple,Gasoline,Manual,6977,203,74,50,7/15/2017,4/29/2022,Inactive
Cadillac,STS-V,2008,XYZ456,Pink,Electric,Automatic,6803,143,83,89,2/21/2011,2/25/2008,Active
Volkswagen,Cabriolet,1991,DEF789,Pink,Gasoline,Manual,5381,260,81,91,5/1/2021,11/9/2003,Active
Dodge,Durango,1999,ABC123,Fuscia,Electric,Manual,5524,136,54,55,2/23/2019,9/18/2019,Inactive
BMW,5 Series,2002,DEF789,Goldenrod,Electric,Manual,1686,207,71,64,2/6/2003,8/3/2015,Active
Volkswagen,Eurovan,1992,DEF789,Blue,Electric,Automatic,7316,151,96,52,2/24/2020,5/29/2017,Active
Volkswagen,Eos,2009,ABC123,Fuscia,Electric,Manual,9607,205,83,92,5/14/2013,9/9/2019,Active
Ford,Aerostar,1994,DEF789,Indigo,Gasoline,Automatic,7681,100,53,53,1/14/2010,7/6/2018,Inactive
Oldsmobile,Aurora,2002,DEF789,Purple,Gasoline,Manual,4213,229,98,72,2/9/2005,11/29/2017,Active
Infiniti,FX,2012,ABC123,Mauv,Electric,Automatic,8764,102,73,56,4/27/2001,7/31/2002,Active
Land Rover,Freelander,2010,DEF789,Puce,Gasoline,Automatic,1660,266,78,50,12/16/2001,1/3/2014,Active
Saturn,Sky,2009,ABC123,Blue,Electric,Automatic,5292,275,86,75,4/16/2015,9/9/2021,Active
Mazda,MX-3,1994,DEF789,Green,Gasoline,Manual,3337,144,72,80,8/16/2008,8/22/2016,Active
Mercury,Mountaineer,2010,XYZ456,Mauv,Gasoline,Manual,4972,173,77,57,10/14/2008,3/30/2011,Inactive
Mitsubishi,Montero Sport,1997,DEF789,Mauv,Gasoline,Manual,6864,144,77,80,8/16/2014,7/14/2018,Inactive
GMC,Savana 3500,2009,XYZ456,Khaki,Electric,Manual,4683,168,55,95,12/17/2016,3/2/2005,Inactive
Acura,TSX,2006,DEF789,Blue,Diesel,Manual,1547,236,99,78,12/27/2012,6/10/2007,Active
Mazda,626,1996,XYZ456,Purple,Gasoline,Automatic,8636,270,56,54,8/5/2014,10/2/2008,Inactive
Pontiac,Torrent,2008,DEF789,Orange,Diesel,Automatic,7574,115,90,99,6/1/2004,7/1/2008,Inactive
Dodge,Ram 2500,1996,ABC123,Violet,Diesel,Manual,8535,116,52,66,5/3/2004,9/9/2014,Active
Nissan,Sentra,1993,ABC123,Orange,Electric,Manual,8947,281,86,88,7/6/2009,3/14/2022,Active
Volkswagen,New Beetle,2006,XYZ456,Aquamarine,Diesel,Automatic,1751,120,93,80,2/25/2014,11/27/2011,Active
Audi,5000CS,1987,ABC123,Indigo,Gasoline,Manual,1206,163,55,90,5/7/2010,11/5/2001,Active
GMC,Savana 1500,2009,DEF789,Orange,Electric,Automatic,3033,207,53,94,5/28/2020,9/3/2013,Active
Toyota,4Runner,1997,ABC123,Khaki,Diesel,Automatic,1992,146,56,56,8/26/2010,12/4/2019,Active
GMC,Envoy,2003,DEF789,Green,Electric,Manual,9878,112,85,53,4/8/2019,12/30/2003,Active
Lotus,Exige,2010,DEF789,Indigo,Gasoline,Automatic,8970,285,54,85,9/30/2003,11/15/2019,Active
Porsche,911,1996,ABC123,Purple,Gasoline,Manual,9884,286,60,77,7/28/2019,12/15/2001,Active
Kia,Sedona,2010,ABC123,Indigo,Electric,Manual,7203,174,69,93,10/7/2000,2/10/2014,Active
Ford,F-Series,1989,XYZ456,Violet,Gasoline,Manual,5715,110,78,65,10/16/2005,3/1/2003,Active
Bentley,Continental GTC,2008,XYZ456,Teal,Electric,Manual,6336,284,88,97,6/26/2001,11/1/2019,Active
Kia,Sephia,1995,ABC123,Orange,Electric,Automatic,5857,119,58,61,10/10/2019,9/18/2002,Active
Mercury,Mountaineer,1999,ABC123,Turquoise,Diesel,Manual,4263,282,56,97,8/6/2015,4/15/2004,Active
Subaru,Legacy,2002,DEF789,Khaki,Gasoline,Automatic,4983,251,75,65,2/18/2009,1/20/2000,Active
Toyota,4Runner,2012,DEF789,Purple,Gasoline,Manual,8340,243,79,90,3/7/2021,6/4/2001,Inactive
Volvo,XC70,2009,XYZ456,Maroon,Diesel,Manual,3750,184,88,100,11/6/2019,3/3/2011,Inactive
Mitsubishi,Outlander,2004,XYZ456,Aquamarine,Electric,Manual,6793,205,68,53,5/14/2008,11/15/2021,Active
GMC,Rally Wagon 3500,1992,ABC123,Goldenrod,Electric,Manual,3529,101,99,54,2/17/2008,6/22/2001,Inactive
Audi,A6,2000,ABC123,Maroon,Diesel,Manual,6551,252,56,62,1/1/2015,11/25/2013,Inactive
Buick,Park Avenue,2003,DEF789,Indigo,Diesel,Automatic,7872,260,75,82,3/10/2019,10/15/2007,Active
GMC,Yukon XL 1500,2006,XYZ456,Crimson,Diesel,Automatic,7289,282,86,55,1/31/2010,7/19/2004,Active
GMC,Savana 3500,2002,XYZ456,Goldenrod,Diesel,Automatic,6357,150,78,51,7/2/2022,3/15/2003,Inactive
Porsche,944,1991,XYZ456,Turquoise,Diesel,Automatic,8621,107,76,74,8/16/2012,9/28/2020,Active
Chrysler,Town & Country,2007,DEF789,Aquamarine,Diesel,Automatic,1511,211,72,52,8/5/2021,7/27/2001,Active
Nissan,Murano,2009,ABC123,Green,Gasoline,Automatic,1846,161,94,91,10/1/2017,6/18/2010,Active
Kia,Spectra,2001,ABC123,Pink,Gasoline,Manual,6623,103,58,90,2/20/2001,6/29/2002,Active
Ford,Taurus,2005,DEF789,Green,Diesel,Manual,2230,154,50,99,3/1/2021,2/7/2009,Active
Ford,Econoline E350,2001,ABC123,Puce,Diesel,Manual,2387,278,53,53,2/13/2003,12/24/2017,Active
Mercury,Grand Marquis,2009,DEF789,Indigo,Diesel,Automatic,9611,208,50,50,7/10/2016,8/7/2020,Active
Mazda,MX-6,1996,XYZ456,Purple,Diesel,Automatic,4323,251,81,73,1/3/2004,5/28/2019,Inactive
Jaguar,XJ,2012,DEF789,Orange,Gasoline,Manual,9542,164,99,73,6/20/2001,2/15/2018,Active
Dodge,Journey,2011,ABC123,Violet,Gasoline,Manual,2063,121,57,82,8/9/2005,8/20/2009,Inactive
MINI,Countryman,2012,ABC123,Mauv,Electric,Automatic,4539,249,55,53,1/18/2013,8/12/2013,Active
Buick,Century,1995,DEF789,Aquamarine,Gasoline,Automatic,5302,120,97,86,11/10/2008,6/12/2002,Inactive
Mazda,B2600,1989,ABC123,Indigo,Gasoline,Manual,8118,176,59,64,9/27/2007,6/11/2010,Active
Ford,Escort,1992,ABC123,Puce,Diesel,Automatic,1187,261,53,55,4/11/2004,7/24/2013,Active
Lincoln,Navigator L,2012,ABC123,Teal,Electric,Automatic,4456,135,52,86,5/30/2012,2/15/2010,Inactive
Chevrolet,Malibu,2005,XYZ456,Yellow,Electric,Automatic,6274,167,99,66,5/4/2008,3/13/2003,Active
Acura,RDX,2007,ABC123,Khaki,Electric,Automatic,4918,105,58,68,1/16/2004,4/30/2007,Active
Mercury,Sable,1994,XYZ456,Maroon,Gasoline,Manual,4411,115,80,85,1/12/2015,7/28/2009,Active
Pontiac,G5,2008,XYZ456,Orange,Gasoline,Manual,2059,266,79,57,8/24/2021,8/7/2003,Inactive
Mazda,Mazda6,2010,DEF789,Mauv,Gasoline,Manual,2037,162,64,86,10/9/2010,1/30/2012,Active
Chevrolet,Venture,2003,ABC123,Turquoise,Electric,Automatic,8734,250,76,95,7/21/2014,8/21/2004,Inactive
Volkswagen,Cabriolet,1998,XYZ456,Blue,Diesel,Manual,7759,214,69,70,4/2/2016,5/24/2007,Active
Mazda,Mazda3,2011,ABC123,Purple,Diesel,Automatic,9679,172,60,59,1/24/2011,6/21/2018,Active
Ferrari,599 GTB Fiorano,2008,ABC123,Crimson,Diesel,Manual,9167,103,63,70,12/10/2011,12/23/2010,Inactive
Subaru,Impreza,2001,XYZ456,Pink,Electric,Manual,9003,279,67,75,5/1/2000,5/31/2010,Active
Mazda,Mazdaspeed 3,2009,DEF789,Goldenrod,Diesel,Manual,5181,237,58,80,7/10/2010,6/9/2012,Active
Pontiac,Firebird,1969,ABC123,Purple,Electric,Automatic,1048,234,99,83,2/5/2019,12/27/2021,Inactive
Toyota,Avalon,2008,DEF789,Green,Electric,Manual,5660,281,71,65,8/31/2003,7/12/2001,Inactive
Mazda,B-Series,2007,ABC123,Pink,Gasoline,Automatic,4421,127,63,59,12/24/2022,12/21/2011,Inactive
Ford,GT500,2007,XYZ456,Indigo,Electric,Automatic,9123,295,88,70,10/28/2004,1/16/2000,Active
Honda,Prelude,2001,XYZ456,Red,Diesel,Automatic,6332,122,69,79,3/3/2011,1/26/2011,Active
Ford,Focus,2001,ABC123,Maroon,Electric,Automatic,5430,115,64,58,8/31/2018,7/26/2007,Active
GMC,Savana 1500,2006,XYZ456,Violet,Electric,Automatic,9661,236,98,68,2/4/2009,10/13/2004,Active
Cadillac,CTS,2010,XYZ456,Blue,Electric,Automatic,1430,117,56,64,7/26/2008,7/30/2004,Inactive
Ford,F150,1994,DEF789,Turquoise,Electric,Automatic,7896,256,79,63,7/21/2020,9/8/2018,Active
GMC,Savana 2500,2009,ABC123,Blue,Electric,Manual,8592,257,71,67,10/21/2020,1/18/2022,Active
Nissan,Sentra,2011,DEF789,Pink,Electric,Automatic,7814,242,76,100,12/13/2018,12/17/2004,Active
Cadillac,DeVille,2002,DEF789,Puce,Diesel,Manual,8516,274,53,82,5/15/2010,12/6/2009,Active
Volkswagen,Passat,1999,DEF789,Blue,Electric,Automatic,8682,115,58,62,7/9/2009,2/10/2010,Active
GMC,Jimmy,1997,DEF789,Pink,Gasoline,Automatic,2271,261,62,70,2/24/2014,8/1/2007,Inactive
Dodge,Dakota,1999,XYZ456,Khaki,Electric,Manual,5882,217,90,60,7/21/2004,2/25/2022,Inactive
MINI,Cooper,2010,ABC123,Red,Diesel,Automatic,3419,183,74,97,5/24/2007,5/2/2019,Inactive
Nissan,Quest,1993,XYZ456,Goldenrod,Diesel,Manual,3912,259,65,78,9/30/2001,1/12/2001,Inactive
Mercedes-Benz,C-Class,2005,XYZ456,Aquamarine,Gasoline,Manual,2618,294,64,55,6/23/2019,3/31/2003,Active
Chevrolet,Monte Carlo,1999,ABC123,Fuscia,Gasoline,Manual,3082,178,83,77,1/2/2001,1/29/2001,Active
Chevrolet,Silverado 2500,2005,XYZ456,Yellow,Gasoline,Manual,9079,239,71,74,4/26/2016,9/8/2000,Inactive
BMW,5 Series,2000,DEF789,Teal,Electric,Automatic,5975,228,71,72,9/13/2020,6/21/2012,Inactive
Cadillac,Seville,1992,XYZ456,Green,Gasoline,Manual,5623,241,74,55,12/16/2009,1/5/2014,Active
GMC,Safari,1999,XYZ456,Teal,Diesel,Automatic,9661,150,89,61,2/20/2000,7/18/2016,Active
Bentley,Azure,2010,DEF789,Crimson,Diesel,Manual,2430,237,90,51,8/10/2014,3/13/2007,Inactive
Toyota,Tundra,2006,ABC123,Indigo,Electric,Manual,2294,168,95,67,8/25/2006,2/16/2020,Active
